Date,Clicks,Impressions,Avg. CPC,Cost
2022-01-04,8,104,$7.36,$58.91
2022-01-05,13,57,$3.09,$40.19
2022-01-06,5,78,$12.18,$60.88
2022-01-07,3,97,$4.46,$13.39
2022-01-08,3,39,$4.05,$12.16
2022-01-09,6,75,$3.22,$19.31
2022-01-10,2,128,$4.26,$8.52
2022-01-11,8,197,$5.36,$42.90
2022-01-12,7,248,$5.54,$38.75
2022-01-13,6,152,$8.49,$50.93
2022-01-14,3,41,$6.25,$18.74
2022-01-15,7,35,$5.14,$35.95
2022-01-16,6,60,$7.16,$42.98
2022-01-17,6,118,$4.18,$25.08
2022-01-18,5,96,$6.23,$31.13
2022-01-19,7,109,$2.24,$15.70
2022-01-20,2,27,$13.80,$27.59
2022-01-21,3,88,$5.18,$15.55
2022-01-22,4,83,$4.13,$16.53
2022-01-23,1,75,$3.18,$3.18
2022-01-24,7,136,$8.02,$56.16
2022-01-25,6,161,$5.00,$29.97
2022-01-26,3,102,$14.50,$43.49
2022-01-27,6,183,$7.00,$42.02
2022-01-28,4,160,$2.02,$8.07
2022-01-29,3,55,$7.60,$22.80
2022-01-30,3,49,$2.18,$6.53
2022-01-31,8,183,$3.04,$24.28
2022-02-01,6,136,$8.17,$49.04
2022-02-02,6,75,$7.89,$47.37
2022-02-03,6,67,$6.23,$37.40
2022-02-04,2,123,$5.13,$10.27
2022-02-05,6,62,$2.63,$15.79
2022-02-06,2,66,$2.46,$4.92
2022-02-07,4,169,$7.59,$30.35
2022-02-08,8,143,$7.50,$60.00
2022-02-09,10,141,$4.49,$44.86
2022-02-10,5,94,$10.81,$54.03
2022-02-11,3,39,$8.39,$25.17
2022-02-12,6,88,$3.29,$19.75
2022-02-13,3,59,$8.66,$25.98
2022-02-14,10,126,$4.29,$42.90
2022-02-15,4,138,$4.32,$17.27
2022-02-16,10,109,$5.37,$53.68
2022-02-17,6,75,$9.18,$55.05
2022-02-18,5,45,$3.92,$19.58
2022-02-19,3,109,$5.23,$15.69
2022-02-20,7,90,$4.63,$32.41
2022-02-21,7,170,$3.96,$27.74
2022-02-22,5,156,$5.30,$26.48
2022-02-23,12,175,$3.52,$42.29
2022-02-24,1,14,$33.71,$33.71
2022-02-25,3,32,$11.32,$33.96
2022-02-26,1,40,$0.86,$0.86
2022-02-27,3,38,$1.70,$5.11
2022-02-28,8,85,$7.50,$60.00
2022-03-01,5,67,$6.67,$33.33
2022-03-02,2,37,$17.75,$35.50
2022-03-03,3,67,$8.38,$25.15
2022-03-04,4,64,$2.15,$8.59
2022-03-05,3,80,$2.46,$7.39
2022-03-06,1,70,$0.91,$0.91
2022-03-07,6,188,$8.07,$48.41
2022-03-08,9,233,$6.63,$59.69
2022-03-09,3,165,$9.55,$28.64
2022-03-10,7,72,$7.54,$52.75
2022-03-11,5,54,$9.54,$47.68
2022-03-12,6,60,$3.19,$19.15
2022-03-13,2,61,$3.10,$6.20
2022-03-14,2,63,$11.23,$22.47
2022-03-15,4,56,$9.18,$36.73
2022-03-16,1,46,$17.19,$17.19
2022-03-17,6,96,$2.52,$15.12
2022-03-18,5,100,$6.87,$34.34
2022-03-19,3,55,$3.25,$9.74
2022-03-20,5,78,$7.13,$35.64
2022-03-21,9,107,$6.64,$59.72
2022-03-22,7,162,$7.33,$51.34
2022-03-23,5,139,$7.82,$39.11
2022-03-24,4,134,$9.94,$39.76
2022-03-25,4,90,$4.64,$18.57
2022-03-26,5,74,$4.32,$21.60
2022-03-27,3,73,$4.48,$13.45
2022-03-28,4,89,$10.43,$41.71
2022-03-29,4,97,$7.70,$30.79
2022-03-30,6,113,$7.06,$42.38
2022-03-31,4,42,$2.18,$8.73
2022-04-01,3,88,$4.50,$13.50
2022-04-02,6,56,$3.27,$19.59
2022-04-03,9,78,$3.59,$32.28
2022-04-04,5,46,$11.79,$58.93
2022-04-05,5,131,$10.58,$52.90
2022-04-06,6,142,$7.33,$43.96
2022-04-07,3,108,$2.38,$7.14
2022-04-08,5,41,$4.96,$24.82
2022-04-09,5,52,$7.39,$36.95
2022-04-10,1,47,$1.70,$1.70
2022-04-11,10,108,$5.98,$59.81
2022-04-12,4,95,$6.08,$24.30
2022-04-13,6,133,$5.34,$32.03
2022-04-14,5,59,$6.00,$30.02
2022-04-15,2,16,$19.99,$39.98
2022-04-16,3,33,$6.17,$18.51
2022-04-17,0,44,$0.00,$0.00
2022-04-18,5,97,$7.63,$38.16
2022-04-19,9,152,$4.25,$38.24
2022-04-20,7,179,$4.29,$30.06
2022-04-21,3,124,$13.90,$41.70
2022-04-22,6,76,$5.88,$35.28
2022-04-23,3,51,$14.69,$44.08
2022-04-24,3,33,$10.36,$31.07
2022-04-25,4,105,$7.84,$31.34
2022-04-26,5,50,$6.45,$32.26
2022-04-27,1,102,$2.25,$2.25
2022-04-28,4,30,$8.19,$32.75
2022-04-29,1,5,$34.49,$34.49
2022-04-30,0,32,$0.00,$0.00
2022-05-01,3,31,$2.57,$7.72
2022-05-02,3,189,$6.77,$20.31
2022-05-03,5,184,$11.97,$59.83
2022-05-04,6,124,$5.85,$35.10
2022-05-05,5,122,$8.77,$43.84
2022-05-06,4,94,$7.44,$29.77
2022-05-07,4,62,$4.87,$19.48
2022-05-08,3,61,$3.43,$10.28
2022-05-09,1,9,$49.12,$49.12
2022-05-10,5,121,$8.32,$41.58
2022-05-11,6,85,$5.74,$34.45
2022-05-12,3,96,$1.96,$5.88
2022-05-13,4,154,$5.17,$20.70
2022-05-14,6,86,$5.77,$34.62
2022-05-15,2,71,$2.85,$5.70
2022-05-16,5,104,$5.08,$25.41
2022-05-17,8,175,$6.88,$55.08
2022-05-18,4,183,$5.81,$23.25
2022-05-19,4,140,$10.44,$41.75
2022-05-20,3,137,$3.44,$10.32
2022-05-21,4,80,$5.17,$20.67
2022-05-22,9,144,$3.86,$34.74
2022-05-23,9,198,$6.62,$59.59
2022-05-24,5,74,$8.92,$44.62
2022-05-25,7,111,$6.18,$43.28
2022-05-26,6,111,$6.65,$39.92
2022-05-27,4,84,$4.07,$16.26
2022-05-28,3,61,$4.00,$11.99
2022-05-29,2,67,$3.31,$6.62
2022-05-30,2,80,$5.28,$10.56
2022-05-31,10,110,$4.96,$49.56
2022-06-01,5,88,$8.56,$42.81
2022-06-02,3,108,$5.15,$15.45
2022-06-03,3,24,$9.74,$29.22
2022-06-04,6,72,$4.26,$25.56
2022-06-05,3,72,$3.52,$10.57
2022-06-06,8,132,$6.23,$49.82
2022-06-07,6,154,$6.02,$36.10
2022-06-08,8,154,$5.02,$40.17
2022-06-09,6,82,$6.18,$37.09
2022-06-10,5,86,$5.59,$27.96
2022-06-11,4,54,$3.68,$14.72
2022-06-12,3,64,$2.83,$8.48
2022-06-13,11,169,$3.37,$37.08
2022-06-14,9,152,$5.84,$52.60
2022-06-15,8,141,$6.45,$51.59
2022-06-16,6,75,$8.38,$50.28
2022-06-17,2,66,$9.24,$18.48
2022-06-18,4,36,$4.40,$17.60
2022-06-19,3,40,$3.67,$11.00
2022-06-20,5,48,$11.39,$56.94
2022-06-21,1,83,$6.64,$6.64
2022-06-22,6,132,$3.60,$21.58
2022-06-23,8,65,$5.54,$44.29
2022-06-24,6,58,$3.45,$20.71
2022-06-25,6,61,$4.45,$26.70
2022-06-26,1,49,$3.22,$3.22
2022-06-27,6,173,$7.38,$44.29
2022-06-28,7,168,$7.27,$50.89
2022-06-29,4,61,$10.68,$42.70
2022-06-30,2,32,$8.37,$16.73
2022-07-01,6,34,$5.65,$33.90
2022-07-02,3,64,$14.55,$43.66
2022-07-03,1,42,$5.65,$5.65
2022-07-04,3,67,$7.01,$21.02
2022-07-05,4,100,$9.27,$37.09
2022-07-06,3,55,$10.58,$31.74
2022-07-07,4,87,$5.82,$23.28
2022-07-08,4,79,$7.40,$29.61
2022-07-09,2,46,$3.35,$6.69
2022-07-10,4,83,$5.58,$22.32
2022-07-11,9,143,$6.64,$59.76
2022-07-12,6,88,$8.12,$48.72
2022-07-13,7,126,$7.44,$52.10
2022-07-14,5,99,$9.37,$46.83
2022-07-15,4,115,$5.23,$20.93
2022-07-16,5,71,$2.95,$14.76
2022-07-17,6,100,$3.51,$21.04
2022-07-18,6,32,$7.05,$42.32
2022-07-19,6,86,$5.33,$31.96
2022-07-20,2,42,$14.96,$29.93
2022-07-21,3,76,$6.51,$19.52
2022-07-22,1,82,$18.07,$18.07
2022-07-23,3,74,$4.49,$13.46
2022-07-24,3,47,$3.64,$10.92
2022-07-25,5,76,$10.45,$52.27
2022-07-26,3,58,$13.74,$41.22
2022-07-27,5,63,$6.96,$34.79
2022-07-28,5,130,$4.38,$21.88
2022-07-29,6,104,$5.24,$31.46
2022-07-30,6,72,$4.60,$27.62
2022-07-31,2,79,$2.31,$4.62
2022-08-01,4,34,$9.83,$39.33
2022-08-02,5,57,$7.50,$37.49
2022-08-03,5,48,$6.51,$32.56
2022-08-04,3,154,$4.47,$13.41
2022-08-05,3,100,$8.78,$26.35
2022-08-06,1,52,$0.95,$0.95
2022-08-07,2,36,$19.73,$39.45
2022-08-08,9,117,$6.53,$58.76
2022-08-09,1,15,$41.18,$41.18
2022-08-10,4,96,$9.02,$36.09
2022-08-11,4,97,$3.18,$12.71
2022-08-12,6,50,$6.88,$41.30
2022-08-13,4,59,$2.68,$10.73
2022-08-14,5,78,$4.59,$22.97
2022-08-15,3,59,$9.51,$28.52
2022-08-16,2,66,$13.22,$26.44
2022-08-17,4,30,$10.11,$40.45
2022-08-18,6,127,$3.14,$18.85
2022-08-19,4,85,$11.19,$44.77
2022-08-20,3,29,$5.27,$15.81
2022-08-21,2,28,$3.51,$7.02
2022-08-22,6,115,$7.14,$42.85
2022-08-23,7,82,$6.59,$46.11
2022-08-24,2,122,$0.85,$1.70
2022-08-25,7,165,$8.37,$58.57
2022-08-26,3,59,$7.87,$23.61
2022-08-27,4,64,$4.29,$17.15
2022-08-28,4,42,$4.71,$18.85
2022-08-29,3,39,$8.32,$24.95
2022-08-30,6,30,$4.05,$24.29
2022-08-31,2,80,$1.52,$3.05
2022-09-01,3,67,$3.38,$10.13
2022-09-02,3,49,$17.18,$51.55
2022-09-03,2,24,$9.66,$19.32
2022-09-04,0,15,$0.00,$0.00
2022-09-05,2,53,$4.13,$8.25
2022-09-06,5,183,$7.87,$39.37
2022-09-07,3,74,$9.57,$28.70
2022-09-08,4,109,$5.94,$23.75
2022-09-09,1,42,$25.90,$25.90
2022-09-10,5,54,$4.35,$21.77
2022-09-11,2,33,$2.54,$5.09
2022-09-12,6,96,$4.08,$24.48
2022-09-13,5,50,$4.72,$23.61
2022-09-14,3,63,$6.27,$18.82
2022-09-15,5,62,$3.66,$18.28
2022-09-16,5,61,$3.85,$19.23
2022-09-17,2,47,$3.84,$7.68
2022-09-18,1,24,$4.46,$4.46
2022-09-19,4,131,$6.12,$24.47
2022-09-20,7,86,$5.34,$37.35
2022-09-21,6,84,$3.31,$19.88
2022-09-22,5,73,$4.73,$23.65
2022-09-23,2,88,$14.15,$28.31
2022-09-24,3,29,$6.31,$18.92
2022-09-25,0,33,$0.00,$0.00
2022-09-26,5,117,$7.06,$35.30
2022-09-27,4,81,$7.00,$27.99
2022-09-28,2,53,$5.34,$10.68
2022-09-29,2,54,$7.96,$15.92
2022-09-30,2,38,$3.13,$6.26
2022-10-01,2,22,$0.44,$0.88
2022-10-02,0,35,$0.00,$0.00
2022-10-03,6,121,$6.60,$39.59
2022-10-04,8,173,$6.30,$50.39
2022-10-05,2,90,$12.82,$25.64
2022-10-06,3,38,$8.63,$25.89
2022-10-07,3,31,$7.75,$23.25
2022-10-08,2,38,$2.44,$4.89
2022-10-09,1,28,$1.46,$1.46
2022-10-10,5,58,$9.82,$49.11
2022-10-11,4,143,$5.20,$20.81
2022-10-12,6,152,$4.44,$26.64
2022-10-13,8,115,$3.21,$25.71
2022-10-14,3,28,$5.75,$17.25
2022-10-15,1,32,$8.59,$8.59
2022-10-16,3,53,$2.03,$6.09
2022-10-17,6,140,$4.75,$28.51
2022-10-18,4,95,$8.73,$34.94
2022-10-19,5,145,$5.07,$25.37
2022-10-20,5,59,$3.32,$16.61
2022-10-21,5,63,$4.18,$20.90
2022-10-22,1,42,$0.86,$0.86
2022-10-23,2,31,$3.73,$7.46
2022-10-24,5,102,$7.55,$37.73
2022-10-25,2,41,$12.29,$24.59
2022-10-26,3,27,$7.84,$23.53
2022-10-27,1,74,$5.05,$5.05
2022-10-28,2,7,$14.84,$29.68
2022-10-29,1,8,$5.10,$5.10
2022-10-30,1,21,$2.31,$2.31
2022-10-31,4,113,$4.96,$19.85
2022-11-01,4,31,$6.33,$25.32
2022-11-02,6,115,$5.29,$31.77
2022-11-03,8,93,$3.46,$27.66
2022-11-04,3,31,$7.07,$21.21
2022-11-05,1,40,$1.56,$1.56
2022-11-06,1,71,$3.00,$3.00
2022-11-07,5,110,$8.60,$42.98
2022-11-08,4,130,$7.14,$28.57
2022-11-09,2,7,$28.05,$56.10
2022-11-10,2,24,$1.77,$3.54
2022-11-11,4,74,$5.73,$22.91
2022-11-12,2,42,$2.80,$5.59
2022-11-13,4,57,$1.07,$4.29
2022-11-14,9,108,$4.43,$39.86
2022-11-15,4,101,$6.42,$25.66
2022-11-16,3,43,$8.49,$25.47
2022-11-17,6,35,$2.87,$17.24
2022-11-18,1,24,$15.29,$15.29
2022-11-19,2,26,$2.10,$4.20
2022-11-20,5,37,$3.84,$19.18
2022-11-21,1,11,$25.42,$25.42
2022-11-22,3,104,$3.53,$10.58
2022-11-23,3,64,$3.33,$9.99
2022-11-24,9,89,$3.28,$29.49
2022-11-25,9,173,$4.00,$35.96
2022-11-26,9,109,$2.89,$25.97
2022-11-27,4,76,$2.96,$11.83
2022-11-28,2,18,$18.01,$36.02
2022-11-29,2,128,$1.75,$3.49
2022-11-30,5,123,$2.16,$10.79
2022-12-01,2,22,$13.78,$27.56
2022-12-02,5,85,$5.10,$25.49
2022-12-03,2,15,$8.14,$16.29
2022-12-04,4,31,$2.06,$8.24
2022-12-05,4,35,$7.00,$28.01
2022-12-06,6,64,$2.86,$17.18
2022-12-07,2,8,$11.79,$23.58
2022-12-08,5,21,$3.53,$17.65
2022-12-09,3,31,$7.40,$22.21
2022-12-10,0,10,$0.00,$0.00
2022-12-11,3,17,$0.49,$1.47
2022-12-12,4,65,$9.24,$36.95
2022-12-13,5,95,$6.35,$31.73
2022-12-14,2,98,$17.15,$34.30
2022-12-15,2,27,$11.29,$22.58
2022-12-16,2,76,$11.49,$22.99
2022-12-17,4,265,$1.78,$7.13
2022-12-18,11,866,$1.56,$17.19
2022-12-19,4,"1,145",$7.19,$28.76
2022-12-20,7,622,$3.29,$23.01
2022-12-21,5,660,$4.28,$21.40
2022-12-22,6,959,$4.87,$29.21
2022-12-23,3,85,$2.75,$8.24
2022-12-24,10,"1,287",$2.03,$20.33
2022-12-25,9,"1,866",$1.92,$17.26
2022-12-26,7,"4,384",$1.61,$11.26
2022-12-27,12,"3,095",$1.75,$21.04
2022-12-28,12,"2,177",$1.03,$12.31
2022-12-29,7,923,$1.45,$10.17
2022-12-30,7,"2,198",$2.11,$14.79
2022-12-31,16,"4,674",$0.87,$13.90
2023-01-01,8,845,$2.12,$16.94
2023-01-02,12,"2,289",$1.72,$20.62
2023-01-03,9,"2,581",$1.92,$17.31
2023-01-04,13,"1,820",$2.42,$31.52
2023-01-05,4,351,$3.96,$15.83
2023-01-06,5,"1,145",$4.30,$21.52
2023-01-07,8,"1,621",$1.33,$10.60
2023-01-08,13,"3,095",$0.83,$10.83
2023-01-09,11,"2,032",$3.57,$39.23
2023-01-10,12,"1,639",$2.86,$34.27
2023-01-11,10,"1,972",$1.62,$16.18
