Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Video Production Company,Enabled,Enabled,"$6,056.79",934,5.01%
Kansas City Video Production,Enabled,Enabled,"$1,779.39",279,2.82%
Video Agency,Enabled,Enabled,$349.84,41,5.28%
Live Streaming Production Company,Enabled,Enabled,$249.00,92,5.50%
Motion Design Graphics,Enabled,Enabled,$230.95,40,2.43%
Video Editing Company,Enabled,Enabled,$197.76,37,4.81%
Video Editing Service,Enabled,Enabled,$195.19,24,5.18%
Event Webcasting,Enabled,Enabled,$109.05,44,2.82%
Motion Graphics Artist,Enabled,Enabled,$92.25,13,2.00%
Drone,Enabled,Enabled,$88.44,23,4.33%
Post Production,Enabled,Enabled,$66.80,13,5.06%
Webcasting Company,Enabled,Enabled,$34.31,15,0.80%
Film & Video Production Company,Enabled,Enabled,$32.62,16,0.29%
Motion Graphics Company,Enabled,Enabled,$20.79,10,1.00%
Broadcast Van,Removed,Enabled,$20.60,14,0.28%
Live Streaming Company,Enabled,Enabled,$12.63,3,1.31%
PPC Search Exact - dynamic ad group,Enabled,Enabled,$8.83,17,22.08%
Motion Graphics Online,Enabled,Enabled,$6.80,5,0.25%
Radio Commercial Services,Enabled,Enabled,$5.56,2,0.63%
Broadcast Truck,Enabled,Enabled,$4.58,1,2.56%
Corporate Video Production,Enabled,Enabled,$2.81,1,16.67%
Creative Video Production Company,Enabled,Enabled,$2.60,1,3.70%
Webcasting Misc.,Enabled,Enabled,$1.79,2,0.73%
Advertising Video Production Company,Enabled,Enabled,$1.55,1,1.04%
Best Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Misc Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production House,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Services,Enabled,Enabled,$0.00,0,0.00%
Training Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Product Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Online Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Commercial Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Video Post Production,Enabled,Enabled,$0.00,0,0.00%
Video Editing Service Misc.,Enabled,Enabled,$0.00,0,0.00%
Film Editing Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Videographer,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Agency,Enabled,Enabled,$0.00,0,0.00%
Corporate Filming,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Company,Enabled,Enabled,$0.00,0,0.00%
Brand Video,Enabled,Enabled,$0.00,0,0.00%
Marketing Video Company,Enabled,Enabled,$0.00,0,0.00%
Video Marketing Company,Enabled,Enabled,$0.00,0,0.00%
Video Company,Enabled,Enabled,$0.00,0,0.00%
Video Companies,Enabled,Enabled,$0.00,0,0.00%
TV Commercial,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Streaming,Enabled,Enabled,$0.00,0,0.00%
Webcasting Services,Enabled,Enabled,$0.00,0,0.00%
