Week,Clicks,Impressions,CTR,Cost
"Week of Dec 27, 2021",4,73,5.48%,$33.21
"Week of Jan 3, 2022",46,551,8.35%,$239.65
"Week of Jan 10, 2022",39,861,4.53%,$238.77
"Week of Jan 17, 2022",28,596,4.70%,$134.76
"Week of Jan 24, 2022",32,846,3.78%,$209.04
"Week of Jan 31, 2022",36,712,5.06%,$189.07
"Week of Feb 7, 2022",39,733,5.32%,$260.14
"Week of Feb 14, 2022",45,692,6.50%,$236.58
"Week of Feb 21, 2022",32,625,5.12%,$170.15
"Week of Feb 28, 2022",26,470,5.53%,$170.87
"Week of Mar 7, 2022",38,833,4.56%,$262.52
"Week of Mar 14, 2022",26,494,5.26%,$171.23
"Week of Mar 21, 2022",37,779,4.75%,$243.55
"Week of Mar 28, 2022",36,563,6.39%,$188.98
"Week of Apr 4, 2022",30,567,5.29%,$226.40
"Week of Apr 11, 2022",30,488,6.15%,$204.65
"Week of Apr 18, 2022",36,712,5.06%,$258.59
"Week of Apr 25, 2022",18,355,5.07%,$140.81
"Week of May 2, 2022",30,836,3.59%,$218.61
"Week of May 9, 2022",27,622,4.34%,$192.05
"Week of May 16, 2022",37,963,3.84%,$211.22
"Week of May 23, 2022",36,706,5.10%,$222.28
"Week of May 30, 2022",32,554,5.78%,$183.73
"Week of Jun 6, 2022",40,726,5.51%,$214.34
"Week of Jun 13, 2022",43,679,6.33%,$238.63
"Week of Jun 20, 2022",33,496,6.65%,$180.08
"Week of Jun 27, 2022",29,574,5.05%,$237.82
"Week of Jul 4, 2022",24,517,4.64%,$171.75
"Week of Jul 11, 2022",42,742,5.66%,$264.14
"Week of Jul 18, 2022",24,439,5.47%,$166.18
"Week of Jul 25, 2022",32,582,5.50%,$213.86
"Week of Aug 1, 2022",23,481,4.78%,$189.54
"Week of Aug 8, 2022",33,512,6.45%,$223.74
"Week of Aug 15, 2022",24,424,5.66%,$181.86
"Week of Aug 22, 2022",33,649,5.08%,$208.84
"Week of Aug 29, 2022",19,304,6.25%,$133.29
"Week of Sep 5, 2022",22,548,4.01%,$152.83
"Week of Sep 12, 2022",27,403,6.70%,$116.56
"Week of Sep 19, 2022",27,524,5.15%,$152.58
"Week of Sep 26, 2022",17,400,4.25%,$97.03
"Week of Oct 3, 2022",25,519,4.82%,$171.11
"Week of Oct 10, 2022",30,581,5.16%,$154.20
"Week of Oct 17, 2022",28,575,4.87%,$134.65
"Week of Oct 24, 2022",15,280,5.36%,$127.99
"Week of Oct 31, 2022",27,494,5.47%,$130.37
"Week of Nov 7, 2022",23,444,5.18%,$163.98
"Week of Nov 14, 2022",30,374,8.02%,$146.90
"Week of Nov 21, 2022",38,626,6.07%,$149.24
"Week of Nov 28, 2022",22,422,5.21%,$127.88
"Week of Dec 5, 2022",23,186,12.37%,$110.10
"Week of Dec 12, 2022",30,"1,492",2.01%,$172.87
"Week of Dec 19, 2022",44,"6,624",0.66%,$148.21
"Week of Dec 26, 2022",61,"17,451",0.35%,$83.47
