Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,225
64012,"6,187"
64014,"5,202"
64015,"7,175"
64016,150
64018,189
64019,180
64020,14
64024,"3,843"
64029,"5,018"
64030,"2,113"
64034,"2,577"
64035,1
64037,"1,129"
64040,"2,191"
64048,492
64050,"3,696"
64052,"2,935"
64053,744
64054,210
64055,"6,453"
64056,"3,222"
64057,"2,995"
64058,"1,365"
64060,"6,174"
64061,420
64062,"1,191"
64063,"1,905"
64064,"2,954"
64067,529
64068,"19,590"
64070,705
64071,4
64075,"2,451"
64076,"1,664"
64077,331
64078,"2,866"
64079,"4,839"
64080,"3,242"
64081,"2,695"
64082,"2,039"
64083,"3,422"
64084,17
64085,"1,551"
64086,"5,403"
64088,"1,103"
64089,"4,875"
64093,12
64097,107
64098,903
64106,"1,775"
64108,"35,051"
64109,862
64110,"2,359"
64111,"4,223"
64112,"2,213"
64113,"3,077"
64114,"5,962"
64116,"7,320"
64117,957
64118,"4,816"
64119,"2,363"
64120,570
64123,606
64124,753
64125,71
64126,280
64127,"1,057"
64128,93
64129,"2,437"
64130,"1,395"
64131,"4,756"
64132,"2,151"
64133,"12,071"
64134,"2,401"
64136,53
64137,"1,978"
64138,"3,857"
64139,117
64145,"1,870"
64146,202
64147,4
64149,671
64150,"1,123"
64151,"7,070"
64152,"7,849"
64153,"2,054"
64154,475
64155,"2,801"
64156,376
64157,"1,951"
64158,527
64161,173
64163,259
64164,165
64165,160
64166,91
64401,607
64429,15
64439,304
64448,550
64454,592
64465,"1,123"
64477,924
64490,240
64492,96
64493,66
64501,"2,033"
64503,"2,132"
64504,"1,790"
64505,67
64506,926
64507,"2,062"
64668,10
64671,412
64701,"4,016"
64725,3
64734,571
64742,317
64746,245
64747,851
65616,"12,844"
65802,"8,122"
65803,"6,871"
65804,"8,398"
65806,887
65807,"9,944"
65809,"2,327"
65810,"4,122"
66002,"2,923"
66006,"2,929"
66007,"2,756"
66012,321
66013,342
66018,"2,710"
66020,162
66021,13
66025,683
66027,898
66030,"8,917"
66031,67
66043,"1,176"
66044,"9,202"
66045,11
66046,"4,661"
66047,"4,677"
66048,"7,280"
66049,"12,293"
66050,253
66052,473
66053,"2,296"
66054,700
66061,"11,414"
66062,"14,002"
66064,917
66066,579
66067,86
66070,298
66071,"2,607"
66073,"1,181"
66083,"4,273"
66085,"3,162"
66086,"1,107"
66090,"1,068"
66092,"1,168"
66101,"1,322"
66102,"1,418"
66103,"3,405"
66104,"2,973"
66105,388
66106,"3,605"
66109,"5,045"
66111,"8,783"
66112,78
66202,"2,142"
66203,"2,414"
66204,"5,081"
66205,"2,391"
66206,"3,191"
66207,"3,434"
66208,"1,033"
66209,"6,138"
66210,"4,276"
66211,"2,528"
66212,"6,259"
66213,"6,573"
66214,"2,389"
66215,"4,557"
66216,"3,357"
66217,924
66218,"1,702"
66219,"3,119"
66220,"1,259"
66221,"3,996"
66223,"4,449"
66224,"3,953"
66226,"2,841"
66227,"1,853"
66512,3
66608,1
Branson,0
Springfield,0
