Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,950
Sunday,10 AM,"1,011"
Sunday,11 AM,853
Sunday,12 PM,650
Sunday,1 PM,693
Sunday,2 PM,368
Sunday,3 PM,345
Sunday,4 PM,319
Sunday,5 PM,272
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,"1,065"
Monday,10 AM,953
Monday,11 AM,"1,566"
Monday,12 PM,"1,408"
Monday,1 PM,"1,465"
Monday,2 PM,"1,051"
Monday,3 PM,964
Monday,4 PM,"1,047"
Monday,5 PM,"1,091"
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,"1,377"
Tuesday,10 AM,"1,200"
Tuesday,11 AM,"1,175"
Tuesday,12 PM,"1,101"
Tuesday,1 PM,"1,122"
Tuesday,2 PM,"1,068"
Tuesday,3 PM,"1,198"
Tuesday,4 PM,700
Tuesday,5 PM,258
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,"1,053"
Wednesday,10 AM,"1,093"
Wednesday,11 AM,635
Wednesday,12 PM,979
Wednesday,1 PM,"1,211"
Wednesday,2 PM,"1,289"
Wednesday,3 PM,834
Wednesday,4 PM,397
Wednesday,5 PM,305
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,999
Thursday,10 AM,856
Thursday,11 AM,599
Thursday,12 PM,581
Thursday,1 PM,829
Thursday,2 PM,"1,080"
Thursday,3 PM,574
Thursday,4 PM,301
Thursday,5 PM,213
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,916
Friday,10 AM,"1,086"
Friday,11 AM,859
Friday,12 PM,895
Friday,1 PM,918
Friday,2 PM,356
Friday,3 PM,329
Friday,4 PM,241
Friday,5 PM,154
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,"1,438"
Saturday,10 AM,"1,188"
Saturday,11 AM,"1,278"
Saturday,12 PM,"1,238"
Saturday,1 PM,829
Saturday,2 PM,957
Saturday,3 PM,718
Saturday,4 PM,698
Saturday,5 PM,503
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
