Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,18
64012,293
64014,347
64015,264
64016,14
64017,5
64018,1
64019,11
64024,151
64029,154
64030,276
64034,59
64035,1
64036,1
64037,36
64040,41
64048,20
64050,391
64052,222
64053,46
64054,2
64055,590
64056,137
64057,171
64058,78
64060,141
64061,57
64062,15
64063,36
64064,41
64067,172
64068,566
64070,30
64071,6
64075,251
64076,60
64077,3
64078,133
64079,208
64080,90
64081,199
64082,175
64083,198
64084,4
64085,119
64086,"1,091"
64088,207
64089,164
64097,7
64098,20
64106,368
64108,"1,674"
64109,193
64110,429
64111,788
64112,363
64113,247
64114,708
64116,"1,513"
64117,207
64118,286
64119,269
64120,178
64123,84
64124,29
64125,44
64126,23
64127,230
64128,1
64129,157
64130,214
64131,490
64132,146
64133,"1,468"
64134,273
64137,194
64138,285
64139,40
64145,162
64146,43
64147,44
64149,41
64150,54
64151,456
64152,788
64153,184
64154,324
64155,251
64156,24
64157,257
64158,77
64161,28
64163,23
64164,6
64165,12
64167,2
64401,10
64429,11
64439,8
64443,5
64448,9
64454,14
64465,23
64477,264
64492,1
64501,33
64503,56
64504,48
64506,18
64507,112
64624,1
64701,179
64725,1
64734,14
64742,24
64746,10
64747,62
65616,681
65802,388
65803,412
65804,428
65806,219
65807,934
65809,98
65810,179
66002,83
66006,61
66007,47
66012,238
66013,12
66018,34
66020,2
66021,6
66025,28
66027,45
66030,313
66031,16
66043,29
66044,472
66045,12
66046,104
66047,43
66048,120
66049,264
66050,2
66052,13
66053,42
66054,10
66061,401
66062,709
66064,9
66066,5
66067,59
66070,3
66071,56
66073,37
66083,82
66085,117
66086,64
66088,1
66090,9
66092,2
66097,2
66101,217
66102,337
66103,348
66104,266
66105,124
66106,432
66109,408
66111,153
66112,172
66115,62
66202,306
66203,143
66204,454
66205,282
66206,294
66207,89
66208,277
66209,243
66210,557
66211,332
66212,925
66213,705
66214,172
66215,634
66216,396
66217,23
66218,79
66219,199
66220,88
66221,238
66223,405
66224,243
66226,210
66227,58
Branson,0
Springfield,0
