Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
video,"$1,171.81",168,"3,432",0.00,"(video production kansas city, video production, kansas city video production)"
production,"$1,100.98",150,"2,858",0.00,"(video production kansas city, video production, kansas city production companies)"
kansas,$990.90,136,"2,374",0.00,"(videographer kansas city, video production kansas city, kansas city production companies)"
city,$990.90,136,"2,355",0.00,"(videographer kansas city, video production kansas city, kansas city production companies)"
me,$598.03,68,"1,187",0.00,"(recording studios near me, video transfer services near me, videographer near me)"
productions,$736.97,99,"1,185",0.00,"(epic productions, paradise productions kc, rushing productions)"
near me,$578.46,66,"1,168",0.00,"(recording studios near me, video transfer services near me, videographer near me)"
companies,$468.10,63,"1,027",0.00,"(kansas city production companies, production companies kansas city, video production companies kansas city)"
videographer,$390.43,43,"1,017",0.00,"(videographer, videographer kansas city, kansas city videographer)"
film,$342.48,46,561,0.00,"(film production companies in kansas city, kansas city film production companies, film internships kansas city)"
company,$187.18,28,550,0.00,"(production company, production company kansas city, video production company)"
media,$431.27,49,526,0.00,"(something different media group, real media kc, streaming media)"
live,$74.82,18,457,0.00,"(live streaming, live stream, live video)"
motion,$62.49,14,453,0.00,"(motion graphics, motion design, motion graphics designer)"
studios,$273.04,30,434,0.00,"(recording studios near me, recording studios, recording studios kansas city)"
design,$65.46,9,387,0.00,"(graphic design, graphic design near me, graphic design kansas city mo)"
graphic,$78.83,11,381,0.00,"(graphic design, graphic design near me, graphic design kansas city mo)"
recording,$140.82,13,363,0.00,"(recording studios near me, recording studio, recording studios)"
videography,$78.31,14,357,0.00,"(videography kansas city, videography, kansas city wedding videography)"
kc,$225.65,28,343,0.00,"(real media kc, paradise productions kc, motive kc)"
studio,$74.23,13,331,0.00,"(recording studio, switcher studio, kansas city recording studio)"
services,$115.61,12,325,0.00,"(video transfer services near me, video services, gateway studios and production services)"
in,$91.62,14,321,0.00,"(film production companies in kansas city, production companies in kansas city, in the dark productions)"
graphics,$48.34,8,296,0.00,"(motion graphics, motion graphics designer, motion graphics kansas city)"
streaming,$66.56,14,275,0.00,"(streaming media, live streaming, live streaming websites)"
to,$92.59,12,228,0.00,"(a to z video kansas city, vhs to digital service near me, vhs to dvd service near me)"
outpost,$25.57,56,226,0.00,"(outpost worldwide, outpost productions, outpost worldwide kansas city)"
outpost worldwide,$23.45,55,216,0.00,"(outpost worldwide, outpost worldwide kansas city)"
music,$138.42,16,208,0.00,"(music video production kansas city, music video production near me, music video directors)"
