Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Creative Video Production Company,Enabled,Enabled,"$1,230.83","1,122",0.15%
Kansas City Video Production,Enabled,Enabled,"$1,025.11",999,1.76%
Video Agency,Enabled,Enabled,$946.06,759,0.29%
Film & Video Production Company,Enabled,Enabled,$720.66,111,4.40%
Video Production Company,Enabled,Enabled,$661.70,259,2.21%
Video Marketing Company,Enabled,Enabled,$204.66,71,6.47%
Video Post Production,Enabled,Enabled,$166.85,225,0.46%
Live Streaming Production Company,Enabled,Enabled,$121.27,155,1.76%
Drone,Enabled,Enabled,$98.40,99,1.20%
Misc Video Production Company,Enabled,Enabled,$94.94,11,2.92%
Video Editing Service,Enabled,Enabled,$84.14,19,5.57%
Advertising Video Production Company,Enabled,Enabled,$60.00,21,6.75%
Motion Graphics Company,Enabled,Enabled,$58.48,10,3.88%
Commercial Video Production Company,Enabled,Enabled,$25.97,3,8.11%
PPC Search Exact - dynamic ad group,Enabled,Enabled,$18.00,18,28.57%
Product Video Production Company,Enabled,Enabled,$17.40,3,2.73%
Post Production,Enabled,Enabled,$17.09,2,15.38%
Webcasting Streaming,Enabled,Enabled,$13.37,28,9.66%
Video Editing Company,Enabled,Enabled,$10.77,1,4.76%
TV Commercial,Enabled,Enabled,$9.96,1,2.86%
Corporate Video Production,Enabled,Enabled,$5.32,9,2.01%
Marketing Video Company,Enabled,Enabled,$4.87,6,0.39%
Corporate Video Agency,Enabled,Enabled,$2.33,3,1.91%
Video Company,Enabled,Enabled,$1.14,3,0.95%
Best Video Production Company,Enabled,Enabled,$1.08,1,1.49%
Motion Graphics Studio,Enabled,Enabled,$1.02,1,2.78%
Corporate Filming,Enabled,Enabled,$0.42,1,1.56%
Video Companies,Enabled,Enabled,$0.31,1,4.55%
Video Editing Service Misc.,Enabled,Enabled,$0.31,1,5.00%
Corporate Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production House,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Services,Enabled,Enabled,$0.00,0,0.00%
Training Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Online Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Film Editing Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Videographer,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Company,Enabled,Enabled,$0.00,0,0.00%
Brand Video,Enabled,Enabled,$0.00,0,0.00%
Radio Commercial Services,Enabled,Enabled,$0.00,0,0.00%
Live Streaming Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Streaming,Enabled,Enabled,$0.00,0,0.00%
Webcasting Services,Enabled,Enabled,$0.00,0,0.00%
Webcasting Company,Enabled,Enabled,$0.00,0,0.00%
Webcasting Misc.,Enabled,Enabled,$0.00,0,0.00%
Event Webcasting,Enabled,Enabled,$0.00,0,0.00%
Broadcast Truck,Enabled,Enabled,$0.00,0,0.00%
Motion Graphics Designer,Enabled,Enabled,$0.00,0,0.00%
Motion Graphics Online,Enabled,Enabled,$0.00,0,0.00%
