Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,"78,220"
Sunday,10 AM,"51,249"
Sunday,11 AM,"21,733"
Sunday,12 PM,"5,765"
Sunday,1 PM,"3,366"
Sunday,2 PM,"1,739"
Sunday,3 PM,"1,254"
Sunday,4 PM,459
Sunday,5 PM,"1,671"
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,"79,840"
Monday,10 AM,"70,905"
Monday,11 AM,"29,898"
Monday,12 PM,"8,682"
Monday,1 PM,"2,941"
Monday,2 PM,"1,911"
Monday,3 PM,411
Monday,4 PM,524
Monday,5 PM,317
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,"82,177"
Tuesday,10 AM,"52,796"
Tuesday,11 AM,"14,929"
Tuesday,12 PM,"5,817"
Tuesday,1 PM,"4,417"
Tuesday,2 PM,"1,711"
Tuesday,3 PM,238
Tuesday,4 PM,177
Tuesday,5 PM,215
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,"63,420"
Wednesday,10 AM,"44,185"
Wednesday,11 AM,"12,442"
Wednesday,12 PM,"6,235"
Wednesday,1 PM,"1,433"
Wednesday,2 PM,"1,988"
Wednesday,3 PM,"2,053"
Wednesday,4 PM,"2,651"
Wednesday,5 PM,"1,663"
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,"86,513"
Thursday,10 AM,"53,817"
Thursday,11 AM,"13,847"
Thursday,12 PM,"9,166"
Thursday,1 PM,"3,794"
Thursday,2 PM,"2,853"
Thursday,3 PM,"2,446"
Thursday,4 PM,405
Thursday,5 PM,169
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,"68,594"
Friday,10 AM,"30,421"
Friday,11 AM,"18,374"
Friday,12 PM,"8,594"
Friday,1 PM,"5,961"
Friday,2 PM,"1,327"
Friday,3 PM,621
Friday,4 PM,743
Friday,5 PM,657
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,"75,878"
Saturday,10 AM,"58,373"
Saturday,11 AM,"28,231"
Saturday,12 PM,"8,118"
Saturday,1 PM,"1,065"
Saturday,2 PM,"1,082"
Saturday,3 PM,632
Saturday,4 PM,837
Saturday,5 PM,699
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
