Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,259
64012,"6,523"
64014,"5,693"
64015,"7,541"
64016,165
64018,189
64019,182
64020,14
64024,"4,239"
64029,"5,389"
64030,"2,439"
64034,"2,647"
64035,6
64037,"1,166"
64040,"2,240"
64048,515
64050,"4,023"
64052,"3,385"
64053,842
64054,275
64055,"6,976"
64056,"3,505"
64057,"3,277"
64058,"1,472"
64060,"6,404"
64061,434
64062,"1,210"
64063,"2,079"
64064,"3,139"
64067,572
64068,"20,502"
64070,724
64071,4
64075,"2,569"
64076,"1,747"
64077,356
64078,"3,005"
64079,"5,109"
64080,"3,425"
64081,"2,884"
64082,"2,138"
64083,"3,617"
64084,18
64085,"1,655"
64086,"5,859"
64088,"1,130"
64089,"5,073"
64093,12
64097,110
64098,946
64106,"1,974"
64108,"37,957"
64109,"1,041"
64110,"2,676"
64111,"4,921"
64112,"2,338"
64113,"3,179"
64114,"6,363"
64116,"8,555"
64117,"1,075"
64118,"5,158"
64119,"2,712"
64120,690
64123,727
64124,910
64125,82
64126,314
64127,"1,322"
64128,133
64129,"2,878"
64130,"1,793"
64131,"5,434"
64132,"2,447"
64133,"13,391"
64134,"2,780"
64136,59
64137,"2,136"
64138,"4,280"
64139,132
64145,"1,950"
64146,225
64147,6
64149,689
64150,"1,235"
64151,"7,712"
64152,"8,144"
64153,"2,181"
64154,506
64155,"2,982"
64156,399
64157,"2,066"
64158,544
64161,213
64163,296
64164,170
64165,184
64166,91
64401,618
64429,15
64439,304
64448,555
64454,612
64465,"1,165"
64477,967
64490,252
64492,100
64493,66
64501,"2,135"
64503,"2,301"
64504,"1,807"
64505,68
64506,973
64507,"2,123"
64668,10
64671,423
64701,"4,160"
64720,1
64725,13
64734,591
64742,321
64746,258
64747,908
65616,"13,576"
65802,"8,783"
65803,"7,280"
65804,"8,739"
65806,975
65807,"10,507"
65809,"2,445"
65810,"4,317"
66002,"3,097"
66006,"3,002"
66007,"2,840"
66012,361
66013,349
66018,"2,778"
66020,164
66021,13
66025,732
66027,944
66030,"9,275"
66031,86
66043,"1,249"
66044,"9,818"
66045,30
66046,"4,879"
66047,"4,876"
66048,"7,689"
66049,"12,661"
66050,283
66052,495
66053,"2,365"
66054,713
66061,"11,923"
66062,"14,800"
66064,985
66066,606
66067,87
66070,300
66071,"2,729"
66073,"1,196"
66083,"4,358"
66085,"3,308"
66086,"1,136"
66090,"1,118"
66092,"1,223"
66101,"1,630"
66102,"1,931"
66103,"3,837"
66104,"3,708"
66105,484
66106,"4,112"
66109,"5,569"
66111,"9,638"
66112,95
66115,1
66202,"2,334"
66203,"2,574"
66204,"5,316"
66205,"2,468"
66206,"3,317"
66207,"3,611"
66208,"1,067"
66209,"6,315"
66210,"4,568"
66211,"2,727"
66212,"6,632"
66213,"6,821"
66214,"2,532"
66215,"4,896"
66216,"3,475"
66217,956
66218,"1,779"
66219,"3,279"
66220,"1,296"
66221,"4,116"
66223,"4,609"
66224,"4,069"
66226,"2,924"
66227,"1,951"
66512,3
66608,1
Branson,0
Springfield,0
