Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,Avg. CPC
post production house,Broad match,Enabled,Enabled,Enabled,$16.67,1,$16.67
film and production,Broad match,Enabled,Enabled,Enabled,$16.38,1,$16.38
event video production company,Broad match,Enabled,Enabled,Enabled,$65.19,4,$16.30
video editing agency,Broad match,Enabled,Enabled,Enabled,$10.77,1,$10.77
production agencies,Broad match,Enabled,Enabled,Enabled,$53.38,5,$10.68
television commercial production company,Broad match,Enabled,Enabled,Enabled,$9.96,1,$9.96
video production house,Broad match,Enabled,Enabled,Enabled,$127.09,13,$9.78
commercial video production companies,Broad match,Enabled,Enabled,Enabled,$25.97,3,$8.66
film studio,Broad match,Enabled,Enabled,Enabled,$24.23,3,$8.08
audio visual production companies,Broad match,Enabled,Enabled,Enabled,$31.73,4,$7.93
video services near me,Broad match,Enabled,Enabled,Enabled,$122.00,16,$7.63
film making,Broad match,Enabled,Enabled,Enabled,$14.82,2,$7.41
marketing production company,Broad match,Enabled,Enabled,Enabled,$136.01,19,$7.16
content production company,Broad match,Enabled,Enabled,Enabled,$287.02,42,$6.83
videographer kansas city,Broad match,Enabled,Enabled,Enabled,$12.65,2,$6.33
motion graphics company,Broad match,Enabled,Enabled,Enabled,$56.87,9,$6.32
video production companies in kansas city,Broad match,Enabled,Enabled,Enabled,$334.09,53,$6.30
media production companies,Broad match,Enabled,Enabled,Enabled,$219.96,36,$6.11
creative video agency,Broad match,Enabled,Enabled,Enabled,$29.91,5,$5.98
film and video production company,Broad match,Enabled,Enabled,Enabled,$139.20,24,$5.80
film and video production companies,Broad match,Enabled,Enabled,Enabled,$17.40,3,$5.80
video production in kansas city,Broad match,Removed,Enabled,Enabled,$28.65,5,$5.73
multi media production company,Broad match,Enabled,Enabled,Enabled,$5.68,1,$5.68
media film production,Broad match,Enabled,Enabled,Enabled,$67.20,12,$5.60
digital video production company,Broad match,Enabled,Enabled,Enabled,$29.00,6,$4.83
video editing services,Broad match,Enabled,Enabled,Enabled,$82.31,18,$4.57
video production,Broad match,Enabled,Enabled,Enabled,$412.78,91,$4.54
live video production,Broad match,Removed,Enabled,Enabled,$3.47,1,$3.47
video production agency,Broad match,Enabled,Enabled,Enabled,$3.13,1,$3.13
advertising agency video production,Broad match,Enabled,Enabled,Enabled,$9.14,3,$3.05
live streaming production,Broad match,Enabled,Enabled,Enabled,$5.75,2,$2.88
advertising video production company,Broad match,Enabled,Enabled,Enabled,$50.86,18,$2.83
event video production,Broad match,Enabled,Enabled,Enabled,$2.64,1,$2.64
production company services,Broad match,Enabled,Enabled,Enabled,$2.57,1,$2.57
business marketing video,Broad match,Enabled,Enabled,Enabled,$23.05,11,$2.10
video production services,Broad match,Enabled,Enabled,Enabled,$20.14,10,$2.01
video editing services near me,Broad match,Enabled,Enabled,Enabled,$1.83,1,$1.83
video services,Broad match,Enabled,Enabled,Enabled,$55.25,31,$1.78
video marketing agencies,Broad match,Enabled,Enabled,Enabled,$3.52,2,$1.76
video marketing company,Broad match,Enabled,Enabled,Enabled,$28.17,17,$1.66
live stream studio,Broad match,Enabled,Enabled,Enabled,$16.57,10,$1.66
events production company,Broad match,Enabled,Enabled,Enabled,$1.64,1,$1.64
videography agency,Broad match,Enabled,Enabled,Enabled,$1.61,1,$1.61
motion graphics kansas city,Broad match,Enabled,Enabled,Enabled,$1.61,1,$1.61
video production kansas city,Broad match,Enabled,Enabled,Enabled,$2.78,2,$1.39
professional videographer,Broad match,Enabled,Enabled,Enabled,$5.45,4,$1.36
corporate production services,Broad match,Enabled,Enabled,Enabled,$0.75,1,$0.75
webcast streaming,Broad match,Enabled,Enabled,Enabled,$6.86,13,$0.53
digital video agency,Broad match,Enabled,Enabled,Enabled,$0.50,1,$0.50
professional live stream,Broad match,Enabled,Enabled,Enabled,$3.23,7,$0.46
