Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
city,$228.05,29,471,0.00,"(videographer kansas city, advertising agencies in kansas city, kansas city videographer)"
kansas,$225.93,30,470,0.00,"(videographer kansas city, advertising agencies in kansas city, kansas city videographer)"
video,$203.45,32,432,0.00,"(kansas city video production, video production, video production kansas city)"
production,$174.12,29,396,0.00,"(production companies kansas city, production companies near me, kansas city video production)"
productions,$241.75,26,312,0.00,"(vista productions, loud productions, wg productions)"
media,$159.58,16,304,0.00,"(streaming media, real media kc, steel city media kansas city)"
me,$176.23,29,292,0.00,"(videographer near me, production companies near me, video production near me)"
near me,$162.64,28,284,0.00,"(videographer near me, production companies near me, video production near me)"
companies,$91.00,12,211,0.00,"(production companies kansas city, production companies near me, kansas city film production companies)"
marketing,$68.92,6,164,0.00,"(marketing agencies kansas city, prime 9 marketing, dream team marketing)"
videographer,$32.36,9,159,0.00,"(videographer kansas city, videographer, kansas city videographer)"
film,$93.95,15,123,0.00,"(kansas city film production companies, kc film office, film studios near me)"
company,$25.28,8,111,0.00,"(video production company, production company, kc video company)"
in,$11.48,2,96,0.00,"(advertising agencies in kansas city, agencies in kansas city, ad agencies in kansas city)"
agency,$72.28,9,95,0.00,"(vm agency, advertising agency near me, advertising agency)"
agencies,$8.38,1,89,0.00,"(advertising agencies in kansas city, agencies in kansas city, marketing agencies kansas city)"
advertising,$7.73,2,70,0.00,"(advertising agencies in kansas city, advertising agencies kansas city, advertising agency near me)"
services,$15.92,6,61,0.00,"(video editing services near me, video transfer services near me, animation services near me)"
outpost,$15.94,16,60,0.00,"(outpost worldwide, outpost production, outpost worldwide kansas city)"
studios,$29.97,2,59,0.00,"(film studios near me, video studios near me, mission studios)"
studio,$12.54,5,57,0.00,"(animation studio near me, videography studio near me, production studio)"
kc,$41.82,7,57,0.00,"(kc film office, real media kc, edge kc marketing)"
outpost worldwide,$15.94,16,56,0.00,"(outpost worldwide, outpost worldwide kansas city)"
movie,$29.24,3,53,0.00,"(movie producers, movie companies, movie production companies)"
audio,$47.50,4,50,0.00,"(audio visual, kansas city audio visual kcav, show me audio visual)"
a,$14.46,2,46,0.00,"(a to z video kansas city, how to make a movie, a to z video)"
group,$23.50,3,46,0.00,"(loud production group, acts media group, american media group)"
