Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Creative Video Production Company,Enabled,Enabled,"$1,207.98","1,103",0.15%
Video Agency,Enabled,Enabled,$920.41,752,0.28%
Film & Video Production Company,Enabled,Enabled,$556.35,83,5.30%
Video Production Company,Enabled,Enabled,$506.09,167,3.05%
Kansas City Video Production,Enabled,Enabled,$469.89,383,2.03%
Video Post Production,Enabled,Enabled,$159.15,218,0.45%
Misc Video Production Company,Enabled,Enabled,$94.19,10,2.90%
Video Marketing Company,Enabled,Enabled,$84.96,37,8.71%
Video Editing Service,Enabled,Enabled,$69.90,17,5.88%
Live Streaming Production Company,Enabled,Enabled,$64.27,73,1.72%
Advertising Video Production Company,Enabled,Enabled,$60.00,21,6.93%
Motion Graphics Company,Enabled,Enabled,$58.48,10,3.91%
Commercial Video Production Company,Enabled,Enabled,$25.97,3,11.11%
Product Video Production Company,Enabled,Enabled,$17.40,3,3.66%
PPC Search Exact - dynamic ad group,Enabled,Enabled,$15.67,14,26.92%
Drone,Enabled,Enabled,$13.50,8,1.45%
Webcasting Streaming,Enabled,Enabled,$11.37,21,8.20%
Video Editing Company,Enabled,Enabled,$10.77,1,4.76%
Corporate Video Production,Enabled,Enabled,$5.32,9,2.01%
Marketing Video Company,Enabled,Enabled,$4.87,6,0.40%
Corporate Video Agency,Enabled,Enabled,$1.27,2,6.25%
Best Video Production Company,Enabled,Enabled,$1.08,1,1.49%
Motion Graphics Studio,Enabled,Enabled,$1.02,1,2.86%
Post Production,Enabled,Enabled,$0.42,1,14.29%
Corporate Filming,Enabled,Enabled,$0.42,1,1.56%
Video Editing Service Misc.,Enabled,Enabled,$0.31,1,9.09%
Video Company,Enabled,Enabled,$0.16,1,2.44%
Corporate Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production House,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Services,Enabled,Enabled,$0.00,0,0.00%
Training Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Online Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Film Editing Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Videographer,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Company,Enabled,Enabled,$0.00,0,0.00%
Brand Video,Enabled,Enabled,$0.00,0,0.00%
Video Companies,Enabled,Enabled,$0.00,0,0.00%
Radio Commercial Services,Enabled,Enabled,$0.00,0,0.00%
TV Commercial,Enabled,Enabled,$0.00,0,0.00%
Live Streaming Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Streaming,Enabled,Enabled,$0.00,0,0.00%
Webcasting Services,Enabled,Enabled,$0.00,0,0.00%
Webcasting Company,Enabled,Enabled,$0.00,0,0.00%
Webcasting Misc.,Enabled,Enabled,$0.00,0,0.00%
Event Webcasting,Enabled,Enabled,$0.00,0,0.00%
Broadcast Truck,Enabled,Enabled,$0.00,0,0.00%
Motion Graphics Designer,Enabled,Enabled,$0.00,0,0.00%
Motion Graphics Online,Enabled,Enabled,$0.00,0,0.00%
