Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,"73,997"
Sunday,10 AM,"48,842"
Sunday,11 AM,"20,330"
Sunday,12 PM,"5,122"
Sunday,1 PM,"3,283"
Sunday,2 PM,"1,678"
Sunday,3 PM,"1,199"
Sunday,4 PM,399
Sunday,5 PM,"1,605"
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,"71,366"
Monday,10 AM,"64,378"
Monday,11 AM,"29,258"
Monday,12 PM,"8,644"
Monday,1 PM,"2,903"
Monday,2 PM,"1,891"
Monday,3 PM,365
Monday,4 PM,449
Monday,5 PM,251
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,"74,470"
Tuesday,10 AM,"50,262"
Tuesday,11 AM,"13,518"
Tuesday,12 PM,"5,427"
Tuesday,1 PM,"4,348"
Tuesday,2 PM,"1,656"
Tuesday,3 PM,214
Tuesday,4 PM,164
Tuesday,5 PM,197
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,"59,123"
Wednesday,10 AM,"41,711"
Wednesday,11 AM,"11,899"
Wednesday,12 PM,"5,722"
Wednesday,1 PM,"1,377"
Wednesday,2 PM,"1,941"
Wednesday,3 PM,"2,008"
Wednesday,4 PM,"2,613"
Wednesday,5 PM,"1,656"
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,"81,952"
Thursday,10 AM,"50,436"
Thursday,11 AM,"13,270"
Thursday,12 PM,"9,080"
Thursday,1 PM,"3,682"
Thursday,2 PM,"2,737"
Thursday,3 PM,"2,380"
Thursday,4 PM,323
Thursday,5 PM,73
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,"64,778"
Friday,10 AM,"27,908"
Friday,11 AM,"17,496"
Friday,12 PM,"8,195"
Friday,1 PM,"5,940"
Friday,2 PM,"1,298"
Friday,3 PM,578
Friday,4 PM,714
Friday,5 PM,623
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,"71,997"
Saturday,10 AM,"54,457"
Saturday,11 AM,"27,022"
Saturday,12 PM,"8,034"
Saturday,1 PM,956
Saturday,2 PM,946
Saturday,3 PM,543
Saturday,4 PM,768
Saturday,5 PM,627
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
