Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,Avg. CPC
film and production,Broad match,Enabled,Enabled,Enabled,$16.38,1,$16.38
event video production company,Broad match,Enabled,Enabled,Enabled,$65.19,4,$16.30
video editing agency,Broad match,Enabled,Enabled,Enabled,$10.77,1,$10.77
video production house,Broad match,Enabled,Enabled,Enabled,$51.75,5,$10.35
commercial video production companies,Broad match,Enabled,Enabled,Enabled,$25.97,3,$8.66
video services near me,Broad match,Enabled,Enabled,Enabled,$118.34,14,$8.45
marketing production company,Broad match,Enabled,Enabled,Enabled,$39.23,5,$7.85
content production company,Broad match,Enabled,Enabled,Enabled,$286.52,40,$7.16
videographer kansas city,Broad match,Enabled,Enabled,Enabled,$7.12,1,$7.12
production agencies,Broad match,Enabled,Enabled,Enabled,$13.97,2,$6.99
motion graphics company,Broad match,Enabled,Enabled,Enabled,$56.87,9,$6.32
media production companies,Broad match,Enabled,Enabled,Enabled,$198.74,32,$6.21
video production companies in kansas city,Broad match,Enabled,Enabled,Enabled,$228.58,38,$6.02
creative video agency,Broad match,Enabled,Enabled,Enabled,$29.91,5,$5.98
film and video production companies,Broad match,Enabled,Enabled,Enabled,$17.40,3,$5.80
film and video production company,Broad match,Enabled,Enabled,Enabled,$132.41,23,$5.76
video production in kansas city,Broad match,Removed,Enabled,Enabled,$28.65,5,$5.73
media film production,Broad match,Enabled,Enabled,Enabled,$67.20,12,$5.60
digital video production company,Broad match,Enabled,Enabled,Enabled,$29.00,6,$4.83
video production,Broad match,Enabled,Enabled,Enabled,$391.29,81,$4.83
video editing services,Broad match,Enabled,Enabled,Enabled,$68.07,16,$4.25
live video production,Broad match,Enabled,Enabled,Enabled,$3.47,1,$3.47
video production agency,Broad match,Enabled,Enabled,Enabled,$3.13,1,$3.13
advertising agency video production,Broad match,Enabled,Enabled,Enabled,$9.14,3,$3.05
live stream studio,Broad match,Enabled,Enabled,Enabled,$14.53,5,$2.91
live streaming production,Broad match,Enabled,Enabled,Enabled,$5.75,2,$2.88
advertising video production company,Broad match,Enabled,Enabled,Enabled,$50.86,18,$2.83
production company services,Broad match,Enabled,Enabled,Enabled,$2.57,1,$2.57
video production services,Broad match,Enabled,Enabled,Enabled,$20.14,10,$2.01
business marketing video,Broad match,Enabled,Enabled,Enabled,$14.74,8,$1.84
video editing services near me,Broad match,Enabled,Enabled,Enabled,$1.83,1,$1.83
video marketing agencies,Broad match,Enabled,Enabled,Enabled,$3.52,2,$1.76
video marketing company,Broad match,Enabled,Enabled,Enabled,$25.48,15,$1.70
events production company,Broad match,Enabled,Enabled,Enabled,$1.64,1,$1.64
videography agency,Broad match,Enabled,Enabled,Enabled,$1.61,1,$1.61
motion graphics kansas city,Broad match,Enabled,Enabled,Enabled,$1.61,1,$1.61
video services,Broad match,Enabled,Enabled,Enabled,$36.79,24,$1.53
video production kansas city,Broad match,Enabled,Enabled,Enabled,$2.78,2,$1.39
webcast streaming,Broad match,Enabled,Enabled,Enabled,$4.86,6,$0.81
digital video agency,Broad match,Enabled,Enabled,Enabled,$0.50,1,$0.50
professional live stream,Broad match,Enabled,Enabled,Enabled,$3.23,7,$0.46
live webcasting and streaming,Broad match,Enabled,Enabled,Enabled,$6.51,15,$0.43
video content agency,Broad match,Enabled,Enabled,Enabled,$0.43,1,$0.43
post production services,Broad match,Enabled,Enabled,Enabled,$0.42,1,$0.42
video content marketing agency,Broad match,Enabled,Enabled,Enabled,$0.41,1,$0.41
video content production company,Broad match,Enabled,Enabled,Enabled,$0.37,1,$0.37
video content marketing services,Broad match,Enabled,Enabled,Enabled,$1.10,4,$0.28
video production company,Broad match,Enabled,Enabled,Enabled,$0.86,4,$0.22
professional videographer,Broad match,Enabled,Enabled,Enabled,$0.21,1,$0.21
video production companies,Broad match,Enabled,Enabled,Enabled,$0.19,1,$0.19
