Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
city,$120.28,20,381,0.00,"(videographer kansas city, advertising agencies in kansas city, kansas city videographer)"
kansas,$131.76,22,381,0.00,"(videographer kansas city, advertising agencies in kansas city, kansas city videographer)"
video,$158.38,28,378,0.00,"(video production, kansas city video production, video production kansas city)"
production,$163.67,27,350,0.00,"(production companies kansas city, production companies near me, video production)"
productions,$213.40,22,275,0.00,"(vista productions, wg productions, anglefan productions)"
media,$145.98,15,251,0.00,"(streaming media, real media kc, steel city media kansas city)"
me,$171.59,28,248,0.00,"(videographer near me, production companies near me, video production near me)"
near me,$158.00,27,241,0.00,"(videographer near me, production companies near me, video production near me)"
companies,$61.72,9,190,0.00,"(production companies kansas city, production companies near me, kansas city film production companies)"
videographer,$22.53,6,134,0.00,"(videographer kansas city, videographer, videographer near me)"
film,$88.99,14,99,0.00,"(kansas city film production companies, kc film office, film producer)"
marketing,$20.95,3,94,0.00,"(prime 9 marketing, marketing companies in kansas city, kansas city marketing firm)"
company,$23.61,7,88,0.00,"(video production company, production company, kc video company)"
in,$11.48,2,83,0.00,"(advertising agencies in kansas city, ad agencies in kansas city, marketing companies in kansas city)"
agencies,$8.38,1,70,0.00,"(advertising agencies in kansas city, advertising agencies kansas city, kansas city ad agencies)"
advertising,$7.73,2,66,0.00,"(advertising agencies in kansas city, advertising agencies kansas city, advertising agencies)"
services,$15.92,6,56,0.00,"(video editing services near me, video transfer services near me, animation services near me)"
outpost,$13.98,13,52,0.00,"(outpost worldwide, outpost production, outpost worldwide kansas city)"
movie,$10.09,2,50,0.00,"(movie producers, movie companies, how to make a movie)"
outpost worldwide,$13.98,13,48,0.00,"(outpost worldwide, outpost worldwide kansas city)"
studios,$29.97,2,48,0.00,"(video studios near me, film studios near me, mission studios)"
agency,$46.58,5,48,0.00,"(advertising agency, advertising agency near me, advertising agency kansas city)"
studio,$5.58,3,47,0.00,"(animation studio near me, videography studio near me, studio restream)"
a,$14.46,2,43,0.00,"(a to z video kansas city, how to make a movie, a to z video)"
kc,$36.86,6,43,0.00,"(real media kc, kc film office, kc video company)"
editing,$11.57,4,39,0.00,"(video editing services near me, video editing, video editing near me)"
group,$18.09,2,34,0.00,"(loud production group, acts media group, american media group)"
music,$51.37,7,32,0.00,"(local music video production, music video maker near me, music videographer)"
com,$4.13,2,32,0.00,"(inventorcasting brightroadprods com, mobile creek com, video one com)"
streamyard,$0.00,0,32,0.00,"(streamyard, streamyard live, streamyard pricing)"
editor,$19.90,3,32,0.00,"(video editor, professional video editor near me, video editor near me)"
live,$15.06,2,31,0.00,"(live streaming consultant near me, live streaming services, how to make a live stream on youtube)"
videographers,$46.34,7,29,0.00,"(videographers near me, kansas city videographers, videographers)"
audio,$0.00,0,29,0.00,"(kansas city audio visual companies, kansas city audio visual kcav, show me audio visual)"
