Week,Clicks,Impressions,CTR,Cost
"Week of Sep 18, 2023",41,"23,250",0.18%,$102.83
"Week of Sep 25, 2023",82,"36,577",0.22%,$118.05
"Week of Oct 2, 2023",57,"34,321",0.17%,$111.11
"Week of Oct 9, 2023",113,"43,562",0.26%,$179.60
"Week of Oct 16, 2023",76,"34,112",0.22%,$134.34
"Week of Oct 23, 2023",93,"55,340",0.17%,$120.86
"Week of Oct 30, 2023",102,"50,440",0.20%,$153.58
"Week of Nov 6, 2023",74,"33,733",0.22%,$143.44
"Week of Nov 13, 2023",64,"22,441",0.29%,$124.68
"Week of Nov 20, 2023",65,"37,524",0.17%,$98.28
"Week of Nov 27, 2023",118,"41,562",0.28%,$177.66
"Week of Dec 4, 2023",115,"35,504",0.32%,$141.29
"Week of Dec 11, 2023",91,"41,157",0.22%,$114.32
"Week of Dec 18, 2023",119,"72,804",0.16%,$120.00
"Week of Dec 25, 2023",154,"64,967",0.24%,$160.15
"Week of Jan 1, 2024",126,"40,944",0.31%,$126.01
"Week of Jan 8, 2024",155,"93,203",0.17%,$169.39
"Week of Jan 15, 2024",102,"35,862",0.28%,$114.70
"Week of Jan 22, 2024",82,"44,189",0.19%,$127.77
"Week of Jan 29, 2024",78,"27,240",0.29%,$144.66
"Week of Feb 5, 2024",88,"27,726",0.32%,$146.14
"Week of Feb 12, 2024",128,"58,151",0.22%,$150.44
"Week of Feb 19, 2024",73,"33,414",0.22%,$135.55
"Week of Feb 26, 2024",76,"32,868",0.23%,$130.22
"Week of Mar 4, 2024",60,"5,957",1.01%,$152.99
"Week of Mar 11, 2024",47,"8,892",0.53%,$180.55
"Week of Mar 18, 2024",69,"9,498",0.73%,$126.07
"Week of Mar 25, 2024",129,"7,833",1.65%,$122.36
"Week of Apr 1, 2024",188,"10,224",1.84%,$143.58
"Week of Apr 8, 2024",120,"6,191",1.94%,$90.21
"Week of Apr 15, 2024",47,"1,262",3.72%,$183.12
"Week of Apr 22, 2024",15,331,4.53%,$117.25
