Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,Avg. CPC
video company near me,Broad match,Enabled,Enabled,Enabled,$15.32,1,$15.32
kc video production,Exact match,Removed,Enabled,Enabled,$30.51,2,$15.26
kansas city video production,Exact match,Removed,Enabled,Enabled,$12.40,1,$12.40
event streaming company,Broad match,Enabled,Enabled,Enabled,$12.03,1,$12.03
video production kansas city,Broad match,Enabled,Enabled,Enabled,$59.90,6,$9.98
video production services,Broad match,Enabled,Enabled,Enabled,$28.62,3,$9.54
video editors near me,Broad match,Enabled,Enabled,Enabled,$14.42,2,$7.21
video production companies,Broad match,Enabled,Enabled,Enabled,$163.35,24,$6.81
videographer kansas city,Broad match,Enabled,Enabled,Enabled,$70.14,11,$6.38
video production companies kansas city mo,Broad match,Enabled,Enabled,Enabled,$37.87,6,$6.31
video production,Broad match,Enabled,Enabled,Enabled,$185.15,30,$6.17
live webcasting,Broad match,Removed,Enabled,Enabled,$32.68,6,$5.45
video production in kansas city,Broad match,Removed,Enabled,Enabled,$123.35,25,$4.93
video production companies in kansas city,Broad match,Enabled,Enabled,Enabled,$14.40,3,$4.80
video editor kansas city,Broad match,Enabled,Enabled,Enabled,$18.45,4,$4.61
Kansas City Drone footage,Broad match,Enabled,Enabled,Enabled,$4.48,1,$4.48
video services near me,Broad match,Enabled,Enabled,Enabled,$8.54,2,$4.27
graphic motion,Broad match,Enabled,Enabled,Enabled,$25.37,6,$4.23
post production house,Broad match,Enabled,Enabled,Enabled,$3.46,1,$3.46
event video production,Broad match,Enabled,Enabled,Enabled,$10.24,3,$3.41
kc video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
kc video production companies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video filming,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
post production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
studio video,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video productions,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
film and video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
production agencies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
professional videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company,Exact match,Removed,Enabled,Enabled,$0.00,0,$0.00
audio video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
business video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
promo videos,Broad match,Removed,Enabled,Enabled,$0.00,0,$0.00
product video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
dreamworks production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
media video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
full video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
content production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
event videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
audio video production services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video content production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
music video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
commercial video,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
local video production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video studios,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production companies near me,Exact match,Removed,Enabled,Enabled,$0.00,0,$0.00
