Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,0
Sunday,9 AM,23
Sunday,10 AM,35
Sunday,11 AM,32
Sunday,12 PM,33
Sunday,1 PM,34
Sunday,2 PM,70
Sunday,3 PM,54
Sunday,4 PM,33
Sunday,5 PM,37
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,46
Monday,10 AM,79
Monday,11 AM,60
Monday,12 PM,54
Monday,1 PM,48
Monday,2 PM,33
Monday,3 PM,18
Monday,4 PM,7
Monday,5 PM,7
Monday,6 PM,0
Monday,7 PM,0
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,0
Tuesday,1 AM,0
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,0
Tuesday,8 AM,0
Tuesday,9 AM,37
Tuesday,10 AM,50
Tuesday,11 AM,23
Tuesday,12 PM,34
Tuesday,1 PM,42
Tuesday,2 PM,53
Tuesday,3 PM,46
Tuesday,4 PM,43
Tuesday,5 PM,4
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,38
Wednesday,10 AM,50
Wednesday,11 AM,50
Wednesday,12 PM,27
Wednesday,1 PM,30
Wednesday,2 PM,32
Wednesday,3 PM,32
Wednesday,4 PM,11
Wednesday,5 PM,16
Wednesday,6 PM,0
Wednesday,7 PM,0
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,47
Thursday,10 AM,59
Thursday,11 AM,51
Thursday,12 PM,49
Thursday,1 PM,58
Thursday,2 PM,50
Thursday,3 PM,29
Thursday,4 PM,30
Thursday,5 PM,19
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,26
Friday,10 AM,61
Friday,11 AM,54
Friday,12 PM,34
Friday,1 PM,56
Friday,2 PM,51
Friday,3 PM,43
Friday,4 PM,36
Friday,5 PM,19
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,0
Saturday,12 AM,0
Saturday,1 AM,0
Saturday,2 AM,0
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,29
Saturday,10 AM,32
Saturday,11 AM,43
Saturday,12 PM,33
Saturday,1 PM,31
Saturday,2 PM,28
Saturday,3 PM,21
Saturday,4 PM,24
Saturday,5 PM,22
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
