Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,Avg. CPC
video production services,Broad match,Enabled,Enabled,Enabled,$110.46,10,$11.05
video production companies,Broad match,Enabled,Enabled,Enabled,$277.05,33,$8.40
videographer kansas city,Broad match,Enabled,Enabled,Enabled,$63.92,8,$7.99
video production,Broad match,Enabled,Enabled,Enabled,$205.45,26,$7.90
video editing studio near me,Exact match,Removed,Enabled,Enabled,$6.22,1,$6.22
video production kansas city,Broad match,Enabled,Enabled,Enabled,$49.42,8,$6.18
promo videos,Broad match,Removed,Enabled,Enabled,$32.70,6,$5.45
video services near me,Broad match,Enabled,Enabled,Enabled,$9.93,2,$4.96
kansas city video production,Exact match,Removed,Enabled,Enabled,$3.62,1,$3.62
motion graphic designer,Broad match,Enabled,Enabled,Enabled,$3.36,1,$3.36
video production companies kansas city mo,Broad match,Enabled,Enabled,Enabled,$2.84,1,$2.84
graphic motion,Broad match,Enabled,Enabled,Enabled,$5.45,2,$2.73
video production in kansas city,Broad match,Removed,Enabled,Enabled,$29.82,11,$2.71
live webcasting,Broad match,Removed,Enabled,Enabled,$9.23,4,$2.31
live stream video production,Broad match,Enabled,Enabled,Enabled,$1.76,1,$1.76
videography agency,Exact match,Removed,Enabled,Enabled,$1.36,1,$1.36
event streaming company,Broad match,Enabled,Enabled,Enabled,$2.58,2,$1.29
Kansas City Drone footage,Broad match,Enabled,Enabled,Enabled,$0.95,1,$0.95
4k aerial filming,Broad match,Enabled,Enabled,Enabled,$0.82,1,$0.82
kc video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production companies in kansas city,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
kc video production,Exact match,Removed,Enabled,Enabled,$0.00,0,$0.00
kc video production companies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video filming,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
post production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
studio video,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video productions,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
film and video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
production agencies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
professional videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company,Exact match,Removed,Enabled,Enabled,$0.00,0,$0.00
audio video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
business video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
product video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
dreamworks production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
media video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
full video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
content production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
event videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
audio video production services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video content production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
music video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
commercial video,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
local video production company,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video studios,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production companies near me,Exact match,Removed,Enabled,Enabled,$0.00,0,$0.00
