Date,Clicks,Impressions,Avg. CPC,Cost
"Sat, Oct 1, 2022",2,22,$0.44,$0.88
"Sun, Oct 2, 2022",0,35,$0.00,$0.00
"Mon, Oct 3, 2022",6,121,$6.60,$39.59
"Tue, Oct 4, 2022",8,173,$6.30,$50.39
"Wed, Oct 5, 2022",2,90,$12.82,$25.64
"Thu, Oct 6, 2022",3,38,$8.63,$25.89
"Fri, Oct 7, 2022",3,31,$7.75,$23.25
"Sat, Oct 8, 2022",2,38,$2.44,$4.89
"Sun, Oct 9, 2022",1,28,$1.46,$1.46
"Mon, Oct 10, 2022",5,58,$9.82,$49.11
"Tue, Oct 11, 2022",4,143,$5.20,$20.81
"Wed, Oct 12, 2022",6,152,$4.44,$26.64
"Thu, Oct 13, 2022",8,115,$3.21,$25.71
"Fri, Oct 14, 2022",3,28,$5.75,$17.25
"Sat, Oct 15, 2022",1,32,$8.59,$8.59
"Sun, Oct 16, 2022",3,53,$2.03,$6.09
"Mon, Oct 17, 2022",6,140,$4.75,$28.51
"Tue, Oct 18, 2022",4,95,$8.73,$34.94
"Wed, Oct 19, 2022",5,145,$5.07,$25.37
"Thu, Oct 20, 2022",5,59,$3.32,$16.61
"Fri, Oct 21, 2022",5,63,$4.18,$20.90
"Sat, Oct 22, 2022",1,42,$0.86,$0.86
"Sun, Oct 23, 2022",2,31,$3.73,$7.46
"Mon, Oct 24, 2022",5,102,$7.55,$37.73
"Tue, Oct 25, 2022",2,41,$12.29,$24.59
"Wed, Oct 26, 2022",3,27,$7.84,$23.53
"Thu, Oct 27, 2022",1,74,$5.05,$5.05
"Fri, Oct 28, 2022",2,7,$14.84,$29.68
"Sat, Oct 29, 2022",1,8,$5.10,$5.10
"Sun, Oct 30, 2022",1,21,$2.31,$2.31
