Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Video Production Company,Enabled,Enabled,$164.83,54,2.91%
Motion Graphics Company,Enabled,Enabled,$137.07,112,0.57%
Kansas City Video Production,Enabled,Enabled,$48.70,14,4.79%
Broadcast Van,Removed,Enabled,$36.08,23,0.48%
Marketing Video Company,Enabled,Enabled,$35.55,44,3.34%
Video Agency,Enabled,Enabled,$35.32,5,3.47%
Film & Video Production Company,Enabled,Enabled,$28.89,4,2.61%
Motion Graphics Misc.,Enabled,Enabled,$26.87,11,0.53%
Webcasting Streaming,Enabled,Enabled,$26.53,17,0.64%
Radio Commercial Services,Enabled,Enabled,$25.67,21,0.47%
Live Streaming Production Company,Enabled,Enabled,$17.60,27,1.38%
Video Company,Enabled,Enabled,$13.83,2,16.67%
Webcasting Company,Enabled,Enabled,$6.71,6,0.42%
Video Editing Company,Enabled,Enabled,$6.11,3,2.11%
Video Editing Service,Enabled,Enabled,$4.51,1,6.25%
Broadcast Truck,Enabled,Enabled,$3.50,3,0.91%
Corporate Video Production,Enabled,Enabled,$3.23,1,3.70%
Webcasting Services,Enabled,Enabled,$3.01,8,3.59%
Post Production,Enabled,Enabled,$2.56,1,7.14%
Drone,Enabled,Enabled,$2.39,1,6.67%
Live Streaming Company,Enabled,Enabled,$1.35,1,2.70%
Corporate Video Agency,Enabled,Enabled,$1.30,1,2.44%
PPC Search Exact - dynamic ad group,Enabled,Enabled,$0.78,2,25.00%
Product Video Production Company,Enabled,Enabled,$0.68,1,0.68%
Best Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Misc Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production House,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Production Services,Enabled,Enabled,$0.00,0,0.00%
Training Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Advertising Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Creative Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Online Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Commercial Video Production Company,Enabled,Enabled,$0.00,0,0.00%
Video Post Production,Enabled,Enabled,$0.00,0,0.00%
Video Editing Service Misc.,Enabled,Enabled,$0.00,0,0.00%
Film Editing Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Videographer,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Company,Enabled,Enabled,$0.00,0,0.00%
Corporate Filming,Enabled,Enabled,$0.00,0,0.00%
Explainer Video Company,Enabled,Enabled,$0.00,0,0.00%
Brand Video,Enabled,Enabled,$0.00,0,0.00%
Video Marketing Company,Enabled,Enabled,$0.00,0,0.00%
Video Companies,Enabled,Enabled,$0.00,0,0.00%
TV Commercial,Enabled,Enabled,$0.00,0,0.00%
Corporate Video Streaming,Enabled,Enabled,$0.00,0,0.00%
Webcasting Misc.,Enabled,Enabled,$0.00,0,0.00%
Event Webcasting,Enabled,Enabled,$0.00,0,0.00%
Motion Graphics Designer,Enabled,Enabled,$0.00,0,0.00%
