Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,105
64012,886
64014,617
64015,962
64016,3
64018,16
64019,8
64020,6
64024,694
64029,976
64030,281
64034,283
64037,109
64040,227
64048,33
64050,531
64052,289
64053,52
64054,64
64055,"1,098"
64056,545
64057,484
64058,216
64060,"1,110"
64061,117
64062,230
64063,249
64064,388
64067,92
64068,"1,693"
64070,115
64075,260
64076,345
64077,26
64078,458
64079,687
64080,596
64081,416
64082,304
64083,678
64084,5
64085,219
64086,"1,228"
64088,126
64089,679
64097,47
64098,110
64106,163
64108,"2,437"
64109,122
64110,170
64111,473
64112,210
64113,356
64114,583
64116,561
64117,91
64118,794
64119,838
64120,26
64123,102
64124,25
64125,18
64126,7
64127,103
64129,297
64130,145
64131,375
64132,292
64133,"1,262"
64134,202
64137,237
64138,409
64139,39
64145,210
64146,11
64149,75
64150,99
64151,"1,252"
64152,883
64153,303
64154,28
64155,576
64156,49
64157,321
64158,65
64161,30
64163,69
64164,5
64165,38
64166,8
64401,90
64429,5
64439,73
64448,73
64454,88
64465,149
64477,247
64490,165
64492,62
64493,29
64501,211
64503,361
64504,215
64505,16
64506,135
64507,408
64671,67
64701,604
64725,3
64734,168
64742,89
64746,29
64747,137
65616,"3,035"
65802,807
65803,561
65804,999
65806,51
65807,"1,227"
65809,197
65810,744
66002,468
66006,637
66007,396
66012,9
66013,94
66018,385
66020,23
66021,7
66025,181
66027,88
66030,"1,106"
66031,24
66040,4
66043,122
66044,"2,085"
66045,1
66046,598
66047,648
66048,592
66049,"1,635"
66050,23
66052,128
66053,364
66054,124
66061,"1,808"
66062,"2,489"
66064,301
66066,88
66067,33
66070,25
66071,382
66073,218
66079,4
66083,711
66085,491
66086,223
66090,183
66092,216
66097,22
66101,137
66102,131
66103,381
66104,659
66105,52
66106,531
66109,778
66111,889
66112,68
66202,226
66203,311
66204,762
66205,238
66206,777
66207,580
66208,178
66209,646
66210,756
66211,244
66212,887
66213,950
66214,284
66215,858
66216,774
66217,61
66218,314
66219,432
66220,136
66221,607
66223,542
66224,530
66226,382
66227,416
66512,3
67337,2
Branson,0
Springfield,0
