Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,27
64012,"1,073"
64014,607
64015,"1,130"
64016,36
64018,51
64019,36
64020,1
64024,728
64029,675
64030,358
64034,385
64037,190
64040,270
64048,112
64050,650
64052,454
64053,125
64054,35
64055,981
64056,499
64057,510
64058,168
64060,"1,096"
64061,131
64062,227
64063,256
64064,504
64067,73
64068,"2,961"
64070,95
64075,393
64076,290
64077,81
64078,559
64079,779
64080,495
64081,462
64082,285
64083,557
64084,9
64085,260
64086,896
64088,163
64089,803
64093,11
64097,23
64098,158
64106,236
64108,"2,564"
64109,110
64110,269
64111,672
64112,366
64113,438
64114,909
64116,"1,137"
64117,185
64118,720
64119,521
64120,90
64123,74
64124,170
64125,18
64126,22
64127,179
64128,15
64129,262
64130,214
64131,616
64132,307
64133,"1,807"
64134,412
64136,4
64137,264
64138,650
64139,25
64145,427
64146,22
64149,55
64150,265
64151,900
64152,"1,442"
64153,345
64154,69
64155,477
64156,29
64157,306
64158,47
64161,22
64163,53
64164,21
64165,13
64166,18
64401,208
64429,7
64439,127
64448,122
64454,109
64465,233
64477,292
64490,79
64492,13
64493,26
64501,342
64503,253
64504,403
64505,10
64506,145
64507,455
64671,54
64701,738
64734,97
64742,107
64746,48
64747,148
65616,"2,069"
65802,"1,324"
65803,"1,440"
65804,"1,319"
65806,71
65807,"1,567"
65809,332
65810,627
66002,609
66006,582
66007,651
66012,31
66013,54
66018,453
66020,16
66025,172
66027,133
66030,"1,650"
66031,17
66043,327
66044,"1,500"
66046,992
66047,"1,333"
66048,"1,212"
66049,"2,104"
66050,61
66052,68
66053,365
66054,237
66061,"2,340"
66062,"2,448"
66064,197
66066,71
66067,23
66070,67
66071,528
66073,218
66083,641
66085,487
66086,168
66090,295
66092,356
66101,220
66102,181
66103,582
66104,571
66105,44
66106,522
66109,875
66111,"1,642"
66112,18
66202,456
66203,513
66204,"1,028"
66205,425
66206,513
66207,681
66208,203
66209,"1,267"
66210,761
66211,497
66212,"1,154"
66213,"1,206"
66214,389
66215,726
66216,528
66217,183
66218,326
66219,584
66220,205
66221,795
66223,670
66224,859
66226,543
66227,426
Branson,0
Springfield,0
