Date,Clicks,Impressions,Avg. CPC,Cost
"Sun, Mar 24, 2024",17,846,$1.74,$29.59
"Mon, Mar 25, 2024",21,"1,414",$1.14,$23.90
"Tue, Mar 26, 2024",19,814,$0.99,$18.79
"Wed, Mar 27, 2024",15,"1,393",$1.07,$16.11
"Thu, Mar 28, 2024",17,"1,265",$1.36,$23.20
"Fri, Mar 29, 2024",18,924,$0.79,$14.23
"Sat, Mar 30, 2024",19,896,$0.61,$11.58
"Sun, Mar 31, 2024",20,"1,127",$0.73,$14.54
"Mon, Apr 1, 2024",24,"1,409",$0.61,$14.71
"Tue, Apr 2, 2024",13,"1,187",$0.85,$11.02
"Wed, Apr 3, 2024",24,"1,386",$1.74,$41.79
"Thu, Apr 4, 2024",31,"1,476",$0.64,$19.73
"Fri, Apr 5, 2024",23,"1,527",$0.80,$18.32
"Sat, Apr 6, 2024",37,"1,895",$0.47,$17.34
"Sun, Apr 7, 2024",36,"1,344",$0.57,$20.68
"Mon, Apr 8, 2024",20,"1,205",$0.63,$12.65
"Tue, Apr 9, 2024",26,"1,548",$0.58,$15.21
"Wed, Apr 10, 2024",39,"1,665",$0.99,$38.80
"Thu, Apr 11, 2024",31,"1,685",$0.57,$17.61
"Fri, Apr 12, 2024",3,29,$1.41,$4.23
"Sat, Apr 13, 2024",1,25,$1.71,$1.71
"Sun, Apr 14, 2024",0,34,$0.00,$0.00
"Mon, Apr 15, 2024",3,153,$9.47,$28.42
"Tue, Apr 16, 2024",7,139,$5.69,$39.81
"Wed, Apr 17, 2024",7,195,$5.70,$39.87
"Thu, Apr 18, 2024",13,269,$2.99,$38.90
"Fri, Apr 19, 2024",2,31,$9.97,$19.94
"Sat, Apr 20, 2024",12,171,$1.12,$13.50
"Sun, Apr 21, 2024",3,304,$0.89,$2.68
"Mon, Apr 22, 2024",2,5,$36.09,$72.18
